accuracy,precision_macro,recall_macro,f1_macro,confusion_matrix,classification_report,model_name,train_time_sec,source_file
0.9828503843879361,0.9540328788853722,0.9450343626441187,0.9493264908091816,"[[1114, 4, 1, 0, 0], [1, 1431, 8, 16, 1], [0, 3, 358, 0, 2], [0, 15, 0, 397, 1], [0, 4, 1, 1, 24]]","{'0': {'precision': 0.9991031390134529, 'recall': 0.9955317247542449, 'f1-score': 0.9973142345568488, 'support': 1119.0}, '1': {'precision': 0.9821551132463967, 'recall': 0.9821551132463967, 'f1-score': 0.9821551132463967, 'support': 1457.0}, '2': {'precision': 0.9728260869565217, 'recall': 0.9862258953168044, 'f1-score': 0.9794801641586868, 'support': 363.0}, '3': {'precision': 0.9589371980676329, 'recall': 0.9612590799031477, 'f1-score': 0.9600967351874244, 'support': 413.0}, '4': {'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.8275862068965517, 'support': 30.0}, 'accuracy': 0.9828503843879361, 'macro avg': {'precision': 0.9540328788853722, 'recall': 0.9450343626441187, 'f1-score': 0.9493264908091816, 'support': 3382.0}, 'weighted avg': {'precision': 0.9828171586745976, 'recall': 0.9828503843879361, 'f1-score': 0.9828188840620994, 'support': 3382.0}}",gbdt,12.288852453231812,gbdt_nsl_kdd_metrics.json
0.9834417504435246,0.9753899857576988,0.9384577479507439,0.9547898858387949,"[[1113, 5, 1, 0, 0], [0, 1436, 5, 16, 0], [1, 3, 359, 0, 0], [0, 17, 0, 395, 1], [0, 5, 0, 2, 23]]","{'0': {'precision': 0.9991023339317774, 'recall': 0.9946380697050938, 'f1-score': 0.9968652037617555, 'support': 1119.0}, '1': {'precision': 0.9795361527967258, 'recall': 0.9855868222374743, 'f1-score': 0.9825521724255901, 'support': 1457.0}, '2': {'precision': 0.9835616438356164, 'recall': 0.9889807162534435, 'f1-score': 0.9862637362637363, 'support': 363.0}, '3': {'precision': 0.9564164648910412, 'recall': 0.9564164648910412, 'f1-score': 0.9564164648910412, 'support': 413.0}, '4': {'precision': 0.9583333333333334, 'recall': 0.7666666666666667, 'f1-score': 0.8518518518518519, 'support': 30.0}, 'accuracy': 0.9834417504435246, 'macro avg': {'precision': 0.9753899857576988, 'recall': 0.9384577479507439, 'f1-score': 0.9547898858387949, 'support': 3382.0}, 'weighted avg': {'precision': 0.9834306809600287, 'recall': 0.9834417504435246, 'f1-score': 0.9833352956986342, 'support': 3382.0}}",random_forest,,random_forest_nsl_kdd_metrics.json
0.9751626256652868,0.9701756302619687,0.9416789730627313,0.9534965125023277,"[[1114, 5, 0, 0, 0], [3, 1404, 13, 37, 0], [1, 6, 356, 0, 0], [0, 12, 1, 400, 0], [0, 4, 0, 2, 24]]","{'0': {'precision': 0.9964221824686941, 'recall': 0.9955317247542449, 'f1-score': 0.9959767545820295, 'support': 1119.0}, '1': {'precision': 0.9811320754716981, 'recall': 0.9636238846945779, 'f1-score': 0.9722991689750693, 'support': 1457.0}, '2': {'precision': 0.9621621621621622, 'recall': 0.9807162534435262, 'f1-score': 0.9713506139154161, 'support': 363.0}, '3': {'precision': 0.9111617312072893, 'recall': 0.9685230024213075, 'f1-score': 0.9389671361502347, 'support': 413.0}, '4': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 30.0}, 'accuracy': 0.9751626256652868, 'macro avg': {'precision': 0.9701756302619687, 'recall': 0.9416789730627313, 'f1-score': 0.9534965125023277, 'support': 3382.0}, 'weighted avg': {'precision': 0.9757777989350113, 'recall': 0.9751626256652868, 'f1-score': 0.9752212431466518, 'support': 3382.0}}",tabnet,,tabnet_nsl_kdd_metrics.json
0.9858072146658782,0.9781145018829775,0.9536971335168255,0.9649876406387193,"[[1114, 4, 1, 0, 0], [1, 1438, 4, 14, 0], [1, 3, 359, 0, 0], [0, 14, 0, 398, 1], [0, 3, 1, 1, 25]]","{'0': {'precision': 0.9982078853046595, 'recall': 0.9955317247542449, 'f1-score': 0.9968680089485459, 'support': 1119.0}, '1': {'precision': 0.9835841313269493, 'recall': 0.9869595058339052, 'f1-score': 0.9852689277149709, 'support': 1457.0}, '2': {'precision': 0.9835616438356164, 'recall': 0.9889807162534435, 'f1-score': 0.9862637362637363, 'support': 363.0}, '3': {'precision': 0.9636803874092009, 'recall': 0.9636803874092009, 'f1-score': 0.9636803874092009, 'support': 413.0}, '4': {'precision': 0.9615384615384616, 'recall': 0.8333333333333334, 'f1-score': 0.8928571428571429, 'support': 30.0}, 'accuracy': 0.9858072146658782, 'macro avg': {'precision': 0.9781145018829775, 'recall': 0.9536971335168255, 'f1-score': 0.9649876406387193, 'support': 3382.0}, 'weighted avg': {'precision': 0.9857941258302075, 'recall': 0.9858072146658782, 'f1-score': 0.9857574158023613, 'support': 3382.0}}",xgb,1.6314291954040527,xgb_nsl_kdd_metrics.json
