accuracy,precision_macro,recall_macro,f1_macro,confusion_matrix,classification_report,model_name,train_time_sec,source_file
0.7527389486771491,0.5797612303044879,0.47982652302604967,0.48341394860783576,"[[0, 2, 1016, 405, 0, 24, 548, 1, 4, 0], [0, 17, 985, 586, 14, 21, 79, 32, 9, 3], [0, 14, 6470, 4818, 44, 207, 504, 120, 82, 5], [0, 18, 8623, 21435, 205, 393, 2002, 573, 115, 29], [2, 2, 975, 800, 1138, 38, 15131, 43, 53, 2], [0, 0, 215, 364, 15, 39276, 113, 8, 6, 3], [0, 0, 3, 266, 220, 58, 55359, 82, 10, 2], [0, 3, 1105, 1360, 11, 28, 222, 7756, 5, 1], [0, 0, 0, 102, 52, 7, 317, 174, 480, 1], [0, 0, 0, 52, 1, 6, 16, 0, 0, 55]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2000.0}, '1': {'precision': 0.30357142857142855, 'recall': 0.009736540664375716, 'f1-score': 0.018867924528301886, 'support': 1746.0}, '2': {'precision': 0.3336427392739274, 'recall': 0.5275603392041748, 'f1-score': 0.4087692696487238, 'support': 12264.0}, '3': {'precision': 0.7100503511329005, 'recall': 0.6419009972149852, 'f1-score': 0.6742580330601909, 'support': 33393.0}, '4': {'precision': 0.6694117647058824, 'recall': 0.06258249010118785, 'f1-score': 0.11446389056527861, 'support': 18184.0}, '5': {'precision': 0.9804783064556393, 'recall': 0.9819, 'f1-score': 0.981188638237278, 'support': 40000.0}, '6': {'precision': 0.7451642863873148, 'recall': 0.9885535714285715, 'f1-score': 0.8497747350162329, 'support': 56000.0}, '7': {'precision': 0.8824667197633406, 'recall': 0.7393003526832523, 'f1-score': 0.8045643153526971, 'support': 10491.0}, '8': {'precision': 0.6282722513089005, 'recall': 0.4236540158870256, 'f1-score': 0.5060622034791776, 'support': 1133.0}, '9': {'precision': 0.5445544554455446, 'recall': 0.4230769230769231, 'f1-score': 0.47619047619047616, 'support': 130.0}, 'accuracy': 0.7527389486771491, 'macro avg': {'precision': 0.5797612303044879, 'recall': 0.47982652302604967, 'f1-score': 0.48341394860783576, 'support': 175341.0}, 'weighted avg': {'precision': 0.7499332179377738, 'recall': 0.7527389486771491, 'f1-score': 0.7160555019329667, 'support': 175341.0}}",gbdt,917.6492383480072,gbdt_unsw_nb15_metrics.json
0.7573927375799157,0.596677301949215,0.4417103047273234,0.45178212015734315,"[[0, 0, 847, 488, 15, 100, 547, 1, 2, 0], [0, 54, 834, 656, 33, 70, 79, 12, 8, 0], [0, 1, 5900, 4835, 194, 715, 473, 78, 68, 0], [0, 0, 7726, 22092, 373, 1050, 1683, 382, 86, 1], [0, 0, 855, 701, 2470, 118, 13950, 42, 47, 1], [0, 0, 198, 401, 25, 39261, 101, 7, 6, 1], [0, 0, 8, 374, 506, 1, 55056, 48, 7, 0], [0, 2, 997, 1571, 47, 117, 270, 7482, 5, 0], [0, 0, 17, 147, 39, 7, 388, 48, 487, 0], [0, 0, 3, 113, 2, 2, 9, 0, 1, 0]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2000.0}, '1': {'precision': 0.9473684210526315, 'recall': 0.030927835051546393, 'f1-score': 0.059900166389351084, 'support': 1746.0}, '2': {'precision': 0.3393730227207363, 'recall': 0.4810828440965427, 'f1-score': 0.39798981415899354, 'support': 12264.0}, '3': {'precision': 0.7040601695455415, 'recall': 0.6615757793549546, 'f1-score': 0.6821571382254404, 'support': 33393.0}, '4': {'precision': 0.6668466522678186, 'recall': 0.13583369995600528, 'f1-score': 0.22569444444444445, 'support': 18184.0}, '5': {'precision': 0.9473950918172824, 'recall': 0.981525, 'f1-score': 0.9641581021844035, 'support': 40000.0}, '6': {'precision': 0.7588069904625393, 'recall': 0.9831428571428571, 'f1-score': 0.8565294502006907, 'support': 56000.0}, '7': {'precision': 0.9237037037037037, 'recall': 0.7131827280526165, 'f1-score': 0.8049055994836211, 'support': 10491.0}, '8': {'precision': 0.6792189679218968, 'recall': 0.4298323036187114, 'f1-score': 0.5264864864864864, 'support': 1133.0}, '9': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 130.0}, 'accuracy': 0.7573927375799157, 'macro avg': {'precision': 0.596677301949215, 'recall': 0.4417103047273234, 'f1-score': 0.45178212015734315, 'support': 175341.0}, 'weighted avg': {'precision': 0.7545407096177269, 'recall': 0.7573927375799157, 'f1-score': 0.7268213424007408, 'support': 175341.0}}",random_forest,,random_forest_unsw_nb15_metrics.json
0.7426101140064217,0.5146413447929914,0.4111204038294168,0.40643517470373647,"[[0, 0, 1281, 214, 4, 6, 495, 0, 0, 0], [0, 0, 1260, 330, 19, 3, 85, 49, 0, 0], [0, 0, 8552, 2979, 63, 58, 496, 113, 3, 0], [2, 0, 11488, 19307, 260, 74, 1833, 419, 10, 0], [0, 0, 1275, 558, 1460, 343, 14322, 217, 9, 0], [0, 0, 303, 414, 23, 39129, 119, 12, 0, 0], [0, 0, 8, 574, 336, 123, 54846, 111, 2, 0], [0, 0, 1554, 1262, 134, 18, 783, 6740, 0, 0], [0, 0, 0, 134, 57, 0, 386, 380, 176, 0], [0, 0, 1, 114, 6, 0, 9, 0, 0, 0]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2000.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1746.0}, '2': {'precision': 0.33247803436746753, 'recall': 0.6973255055446836, 'f1-score': 0.4502711525298794, 'support': 12264.0}, '3': {'precision': 0.7458471760797342, 'recall': 0.578175066630731, 'f1-score': 0.65139425428904, 'support': 33393.0}, '4': {'precision': 0.6181202370872142, 'recall': 0.08029036515618126, 'f1-score': 0.14212012070476004, 'support': 18184.0}, '5': {'precision': 0.9842783116164411, 'recall': 0.978225, 'f1-score': 0.9812423201344134, 'support': 40000.0}, '6': {'precision': 0.747485485321776, 'recall': 0.9793928571428572, 'f1-score': 0.8478674231298406, 'support': 56000.0}, '7': {'precision': 0.8382042034572814, 'recall': 0.6424554379944715, 'f1-score': 0.7273904597453054, 'support': 10491.0}, '8': {'precision': 0.88, 'recall': 0.1553398058252427, 'f1-score': 0.26406601650412603, 'support': 1133.0}, '9': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 130.0}, 'accuracy': 0.7426101140064217, 'macro avg': {'precision': 0.5146413447929914, 'recall': 0.4111204038294168, 'f1-score': 0.40643517470373647, 'support': 175341.0}, 'weighted avg': {'precision': 0.7485097250309657, 'recall': 0.7426101140064217, 'f1-score': 0.7101530995804203, 'support': 175341.0}}",tabnet,,tabnet_unsw_nb15_metrics.json
0.7653999920155583,0.6687726702300949,0.4980076974998854,0.5139341788777283,"[[0, 0, 946, 493, 1, 7, 549, 0, 4, 0], [0, 98, 942, 620, 10, 7, 37, 22, 8, 2], [0, 0, 6503, 5159, 60, 88, 301, 62, 91, 0], [0, 3, 8461, 22535, 231, 230, 1280, 526, 108, 19], [0, 0, 935, 777, 2118, 22, 14261, 13, 57, 1], [0, 0, 232, 283, 23, 39375, 76, 5, 5, 1], [0, 0, 19, 253, 503, 5, 55133, 79, 7, 1], [0, 3, 1070, 1495, 17, 10, 64, 7824, 8, 0], [0, 0, 17, 106, 41, 11, 358, 28, 570, 2], [0, 0, 0, 65, 0, 6, 6, 3, 0, 50]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2000.0}, '1': {'precision': 0.9423076923076923, 'recall': 0.056128293241695305, 'f1-score': 0.10594594594594595, 'support': 1746.0}, '2': {'precision': 0.34002614379084967, 'recall': 0.5302511415525114, 'f1-score': 0.414348975755838, 'support': 12264.0}, '3': {'precision': 0.7089599194613981, 'recall': 0.6748420327613571, 'f1-score': 0.691480384786511, 'support': 33393.0}, '4': {'precision': 0.7050599201065246, 'recall': 0.11647602287725473, 'f1-score': 0.19992448555786294, 'support': 18184.0}, '5': {'precision': 0.9902919946681421, 'recall': 0.984375, 'f1-score': 0.987324632339113, 'support': 40000.0}, '6': {'precision': 0.765045445084299, 'recall': 0.9845178571428571, 'f1-score': 0.8610158903681724, 'support': 56000.0}, '7': {'precision': 0.9138051857042747, 'recall': 0.7457820989419502, 'f1-score': 0.8212879861439143, 'support': 10491.0}, '8': {'precision': 0.6643356643356644, 'recall': 0.5030891438658429, 'f1-score': 0.5725765946760422, 'support': 1133.0}, '9': {'precision': 0.6578947368421053, 'recall': 0.38461538461538464, 'f1-score': 0.4854368932038835, 'support': 130.0}, 'accuracy': 0.7653999920155583, 'macro avg': {'precision': 0.6687726702300949, 'recall': 0.4980076974998854, 'f1-score': 0.5139341788777283, 'support': 175341.0}, 'weighted avg': {'precision': 0.7710098127315543, 'recall': 0.7653999920155583, 'f1-score': 0.7358828356719409, 'support': 175341.0}}",xgb,29.861140966415405,xgb_unsw_nb15_metrics.json
