dataset,target_model,attack,num_samples,num_clean_correct,clean_accuracy,adversarial_accuracy,accuracy_drop,clean_macro_f1,adversarial_macro_f1,macro_f1_drop,transfer_success_rate,transfer_success_count,legacy_misclassification_rate,legacy_misclassification_count,mean_l2_perturbation,median_l2_perturbation,max_l2_perturbation,mean_linf_perturbation,max_linf_perturbation,l2_q0.99,linf_q0.99,l2_q0.999,linf_q0.999,num_linf_gt_1,num_l2_gt_5,metric_file
nsl_kdd,gbdt,fgm,3382,3336,0.9863985807214666,0.6939680662329982,0.29243051448846835,0.9668053034645115,0.5269883261504011,0.4398169773141104,0.29826139088729015,995,0.3060319337670018,1035,0.39094218611717224,0.3872668743133545,82.71729278564453,0.18835048377513885,82.2645263671875,0.43504798412323,0.23696650564670563,0.45113107562065125,0.35021284222602844,1,1,transfer_fgm_nsl_kdd_gbdt_metrics.json
nsl_kdd,gbdt,pgd,3382,3336,0.9863985807214666,0.6605558840922531,0.3258426966292135,0.9668053034645115,0.5142040595421709,0.4526012439223407,0.3333333333333333,1112,0.33944411590774687,1148,0.7532785534858704,0.7614308595657349,82.71636199951172,0.36194562911987305,82.2645263671875,0.8623155355453491,0.4972572326660156,0.8910389542579651,0.5,1,1,transfer_pgd_nsl_kdd_gbdt_metrics.json
nsl_kdd,gbdt,slide,3382,3336,0.9863985807214666,0.6871673565937315,0.29923122412773506,0.9668053034645115,0.5514676575811769,0.41533764588333466,0.3066546762589928,1023,0.3128326434062685,1058,0.5204434990882874,0.4968792796134949,82.71631622314453,0.253478080034256,82.2645263671875,0.49865907430648804,0.3229748606681824,0.49903902411460876,0.407964289188385,1,1,transfer_slide_nsl_kdd_gbdt_metrics.json
nsl_kdd,tabnet,fgm,3382,3298,0.9751626256652868,0.9305144884683619,0.04464813719692484,0.9534965125023277,0.8442310875308816,0.10926542497144609,0.04608853850818678,152,0.06948551153163808,235,0.3923940360546112,0.3752732276916504,82.71717071533203,0.17733308672904968,82.2645263671875,0.44569504261016846,0.2285567820072174,0.46172651648521423,0.231414794921875,1,1,transfer_fgm_nsl_kdd_tabnet_metrics.json
nsl_kdd,tabnet,pgd,3382,3298,0.9751626256652868,0.6723832052040213,0.3027794204612655,0.9534965125023277,0.5572533242842772,0.3962431882180505,0.3174651303820497,1047,0.3276167947959787,1108,0.7564834356307983,0.7405798435211182,82.71943664550781,0.3482236862182617,82.2645263671875,0.8921001553535461,0.458723783493042,0.9075956344604492,0.46282052993774414,1,1,transfer_pgd_nsl_kdd_tabnet_metrics.json
nsl_kdd,tabnet,slide,3382,3298,0.9751626256652868,0.877291543465405,0.09787108219988172,0.9534965125023277,0.7739697791237352,0.17952673337859248,0.10187992722862341,336,0.12270845653459492,415,0.520521879196167,0.4963223934173584,82.71631622314453,0.24777446687221527,82.2645263671875,0.4989091157913208,0.31351229548454285,0.49940770864486694,0.3454960584640503,1,1,transfer_slide_nsl_kdd_tabnet_metrics.json
nsl_kdd,xgb,fgm,3382,3336,0.9863985807214666,0.6129509166173862,0.37344766410408037,0.9698140415597072,0.41384291837135956,0.5559711231883476,0.38039568345323743,1269,0.38704908338261385,1309,0.3767146170139313,0.3647765517234802,82.71736907958984,0.18154986202716827,82.2645263671875,0.44864264130592346,0.2744530141353607,0.45523601770401,0.32808321714401245,1,1,transfer_fgm_nsl_kdd_xgb_metrics.json
nsl_kdd,xgb,pgd,3382,3336,0.9863985807214666,0.5384387936132466,0.44795978710821993,0.9698140415597072,0.3780189299519982,0.5917951116077089,0.45713429256594723,1525,0.4615612063867534,1561,0.7196321487426758,0.7199280261993408,82.72089385986328,0.34214502573013306,82.2645263671875,0.8970361948013306,0.5,0.9000879526138306,0.5,1,1,transfer_pgd_nsl_kdd_xgb_metrics.json
nsl_kdd,xgb,slide,3382,3336,0.9863985807214666,0.5993494973388528,0.3870490833826138,0.9698140415597072,0.4254936179700849,0.5443204235896223,0.3962829736211031,1322,0.40065050266114727,1355,0.5198150873184204,0.49584609270095825,82.71631622314453,0.2507963180541992,82.2645263671875,0.49919378757476807,0.32949113845825195,0.4994368255138397,0.4033496379852295,1,1,transfer_slide_nsl_kdd_xgb_metrics.json
unsw_nb15,gbdt,fgm,175341,132182,0.7538567705214411,0.4354600464238256,0.3183967240976155,0.49415650190115407,0.20159398275660823,0.29256251914454584,0.45752069116823774,60476,0.5645399535761745,98987,0.3880309462547302,0.37802231311798096,553.7486572265625,0.1531040370464325,553.74853515625,0.4627118408679962,0.18909631669521332,0.4808708131313324,0.20369336009025574,130,80,transfer_fgm_unsw_nb15_gbdt_metrics.json
unsw_nb15,gbdt,pgd,175341,132182,0.7538567705214411,0.33486748678289735,0.4189892837385437,0.49415650190115407,0.17347520301248723,0.3206812988886668,0.5702743187423401,75380,0.6651325132171026,116625,0.7850627303123474,0.7902665138244629,553.7490844726562,0.2628275156021118,553.74853515625,0.9201105237007141,0.3453981280326843,0.9420676827430725,0.4064958691596985,130,80,transfer_pgd_unsw_nb15_gbdt_metrics.json
unsw_nb15,gbdt,slide,175341,132182,0.7538567705214411,0.6198436190052526,0.13401315151618842,0.49415650190115407,0.3092169089686489,0.18493959293250517,0.22654370489174017,29945,0.38015638099474736,66657,0.5161997079849243,0.4981636703014374,553.74853515625,0.18512064218521118,553.74853515625,0.49963876605033875,0.2560131549835205,0.5027310848236084,0.34966641664505005,130,80,transfer_slide_unsw_nb15_gbdt_metrics.json
